0
56m 55s (- -57m 4s) 6000 0.8712 8
57m 27s (- -58m 32s) 7000 0.8525 8
57m 59s (- -58m 0s) 8000 0.8137 8
58m 32s (- -59m 28s) 9000 0.7552 8
59m 2s (- -60m 57s) 10000 0.8489 8
59m 33s (- -60m 26s) 11000 0.8031 8
60m 5s (- -61m 54s) 12000 0.7889 8
0.0028,1.1202
(0.18539727988546886, 0.009433962264150943)
9
60m 49s (- -61m 14s) 1000 0.9421 9
61m 21s (- -62m 40s) 2000 0.8174 9
61m 52s (- -62m 9s) 3000 0.7301 9
62m 23s (- -63m 37s) 4000 0.8083 9
62m 54s (- -63m 5s) 5000 0.7358 9
63m 26s (- -64m 33s) 6000 0.8150 9
63m 57s (- -64m 3s) 7000 0.7974 9
64m 29s (- -65m 30s) 8000 0.7593 9
65m 2s (- -66m 57s) 9000 0.7101 9
65m 33s (- -66m 26s) 10000 0.7963 9
66m 6s (- -67m 54s) 11000 0.7559 9
66m 38s (- -67m 21s) 12000 0.7334 9
0.0025,1.1142
(0.19470293486041518, 0.01650943396226415)
10
67m 22s (- -68m 41s) 1000 0.8788 10
67m 55s (- -68m 6s) 2000 0.7622 10
68m 26s (- -69m 34s) 3000 0.6778 10
68m 59s (- -69m 1s) 4000 0.7653 10
69m 30s (- -70m 29s) 5000 0.6960 10
70m 3s (- -71m 57s) 6000 0.7643 10
70m 34s (- -71m 25s) 7000 0.7492 10
71m 7s (- -72m 52s) 8000 0.7111 10
71m 40s (- -72m 20s) 9000 0.6614 10
72m 12s (- -73m 47s) 10000 0.7521 10
72m 44s (- -73m 15s) 11000 0.7094 10
73m 16s (- -74m 43s) 12000 0.6877 10
0.0025,1.1471
(0.20687186828919113, 0.01650943396226415)
11
74m 0s (- -74m 3s) 1000 0.8317 11
74m 34s (- -75m 28s) 2000 0.7080 11
75m 5s (- -76m 55s) 3000 0.6427 11
75m 37s (- -76m 23s) 4000 0.7193 11
76m 9s (- -77m 51s) 5000 0.6534 11
76m 42s (- -77m 18s) 6000 0.7276 11
77m 13s (- -78m 46s) 7000 0.7025 11
77m 46s (- -78m 13s) 8000 0.6721 11
78m 19s (- -79m 40s) 9000 0.6231 11
78m 51s (- -79m 9s) 10000 0.7125 11
79m 23s (- -80m 36s) 11000 0.6700 11
79m 56s (- -80m 3s) 12000 0.6493 11
0.0023,1.0274
(0.21116678596993557, 0.018867924528301886)
12
80m 41s (- -81m 23s) 1000 0.7924 12
81m 14s (- -82m 48s) 2000 0.6664 12
81m 48s (- -82m 13s) 3000 0.6031 12
82m 20s (- -83m 40s) 4000 0.6894 12
82m 53s (- -83m 7s) 5000 0.6201 12
83m 26s (- -84m 34s) 6000 0.6874 12
83m 57s (- -84m 2s) 7000 0.6645 12
84m 31s (- -85m 29s) 8000 0.6411 12
85m 4s (- -86m 56s) 9000 0.5859 12
